"VAR_0001","VAR_0002","VAR_0003","VAR_0065","VAR_0070","VAR_0085","VAR_0136","VAR_0198","VAR_0211","VAR_0224","VAR_0238","VAR_0241","VAR_0268","VAR_0272","VAR_0273","VAR_0274","VAR_0281","VAR_0292","VAR_0294","VAR_0298","VAR_0302","VAR_0312","VAR_0314","VAR_0318","VAR_0323","VAR_0330","VAR_0337","VAR_0504","VAR_0513","VAR_0515","VAR_0539","VAR_0543","VAR_0549","VAR_0554","VAR_0560","VAR_0578","VAR_0582","VAR_0607","VAR_0608","VAR_0610","VAR_0612","VAR_0649","VAR_0654","VAR_0704","VAR_0707","VAR_0710","VAR_0711","VAR_0715","VAR_0719","VAR_0794","VAR_0805","VAR_0806","VAR_0809","VAR_0849","VAR_0852","VAR_0853","VAR_0854","VAR_0857","VAR_0870","VAR_0879","VAR_0880","VAR_0882","VAR_0884","VAR_0885","VAR_0887","VAR_0891","VAR_0895","VAR_0908","VAR_0916","VAR_0917","VAR_0918","VAR_0919","VAR_0920","VAR_0967","VAR_0969","VAR_1021","VAR_1087","VAR_1088","VAR_1119","VAR_1126","VAR_1127","VAR_1130","VAR_1135","VAR_1149","VAR_1150","VAR_1247","VAR_1257","VAR_1320","VAR_1328","VAR_1397","VAR_1494","VAR_1529","VAR_1530","VAR_1566","VAR_1746","VAR_1747","VAR_1749","VAR_1790","VAR_1934","VAR_0073"
"H",53,72,1,0,1,0,31,NA,1,1,47240,1,390,365,"IN",2,1,2011,0,55,1,2011,0,49,0,0,0,0,0,0,24446,998,32,50,9998,2,25,0,25,5,771,0,2113,81,-99999,0,1,3,1,2,1,-99999,11,11,1,1,44,4,60,50,-99999,81,80,2113,-99999,1275,22205,1,0,0,0,0,1,4,2,24446,0,86,0,100,1151,7,75,140,0,30,1050,101,998,20846,9996,158,3,0,10132,1,2,"IAPS",NA
"R",64,78,1,0,1,0,60,NA,1,1,35810,1,566,542,"AL",2,0,2012,0,22,0,2012,0,1,925,0.53,0,0,-1,0,1400,998,11,1,9998,3,50,45,100,10,999999998,999999998,383,36,-99999,1,2,3,0,3,3,-99999,1,1,23,23,-99999,1,60,95,-99999,93,50,383,-99999,367,-99999,0,0,0,0,0,998,4,1,1000,0,60,0,100,214,20,37,9994,0,30,333,994,998,999999998,9998,9998,0,98,999999998,998,3,"BRANCH",NA
"R",123,64,1,0,1,0,28,NA,1,1,44320,0,341,317,"OH",2,0,2012,128011,118,0,2012,128011,-1,-1,-1,0,1,-1,0,1300,998,9996,96,9998,1,25,0,50,5,999999998,999999998,534,49,-99999,-99999,-99999,0,0,1,1,-99999,2,-99999,-99999,-99999,-99999,43,100,79,-99999,79,100,534,-99999,675,-99999,0,0,0,0,0,998,2,96,1300,0,100,0,100,91,9996,46,9994,0,1,700,994,998,999999998,9998,9998,0,98,999999998,998,1,"BRANCH",NA
"R",39,39,22,5,7,1,34,42,1,23,77077,0,301,277,"MS",1,0,-1,0,197,0,2012,0,1,-1,0,1,1,2,2,86233,998,3,11,24,3,391,746,851,64,17942,999999994,4913,47,-99999,2,4,4,5,3,3,-99999,2,2,1,1,-99999,7,21,75,-99999,95,100,3930,-99999,500,24338,16,5949,13586,13546,16711,997,3,1,86233,40849,53,42,50,1383,2,69,48,0,30,633,72,0,84333,21,173,7,0,999999997,400,1,"IAPS",9.10084e+017
"H",108,108,2,1,1,0,37,NA,1,2,36117,0,428,392,"AL",1,0,2011,146120,5,0,-1,0,1,0,1.11,0,1,-1,0,172503,998,9996,96,9,2,120,111,240,6,5443,999999994,12708,85,-99999,-99999,-99999,0,0,0,1,-99999,0,-99999,-99999,-99999,-99999,4,21,77,-99999,22,100,12708,94153,5427,-99999,0,0,0,0,0,998,8,96,172503,0,100,0,100,2726,9996,96,9994,0,1,6750,994,0,33375,9996,166,3,0,21737,1,0,"IAPS",8.60311e+017
"R",72,22,1,0,1,0,26,NA,1,1,92019,0,265,253,"CA",2,0,2012,224579,81,0,2012,224579,56,0,1.92,0,0,-1,0,14851,120,6,23,5,98,0,999999996,0,996,9751,999999994,7432,42,0,0,2,2,4,0,0,-99999,7,8,0,0,-99999,8,0,54,-99999,0,100,3716,-99999,4100,-99999,3,9972,9972,9972,9972,998,3,0,14851,0,56,11,40,334,0,43,47,999999998,998,999999998,998,997,9751,9996,96,3,0,9751,1,0,"IAPS",NA
"R",54,210,2,0,2,0,48,42,1,2,46160,0,408,384,"IN",-1,0,-1,0,81,0,2012,0,1,-1,0,0,0,-1,0,264549,998,8,51,16,1,100,52,295,9,297,393,54438,111,-99999,1,1,4,7,2,3,-99999,1,1,1,1,5,5,20,90,522,214,25,54438,202527,200,-99999,6,307,307,307,1657,997,4,7,264549,3745,51,11,42,4025,0,115,115,0,90,300,994,1,39149,66,153,2,0,15139,60,2,"BRANCH",NA
"H",99,2,1,0,1,0,48,NA,1,1,44120,0,436,424,"OH",2,0,2011,130077,99,0,2011,130077,11,0,0.72,0,0,-1,2,145230,400,7,4,41,0,999999996,999999996,999999996,996,15088,999999994,53177,61,-99999,-99999,-99999,0,10,-99999,0,-99999,0,-99999,10,21,22,31,0,73,-99999,-99999,50,53177,91265,-99999,25530,7,857,18790,18790,18790,998,96,1,145230,12749,20,60,33,702,19,31,67,0,400,999999996,996,998,25530,9996,66,1,98,999999998,998,0,"IAPS",NA
"H",316,0,1,0,1,0,63,NA,1,1,37049,1,677,652,"TN",2,1,-1,0,279,1,-1,0,56,0,0,0,0,0,0,41495,998,9996,96,9,1,55,30,143,3,10569,999999994,3069,53,-99999,1,2,2,2,1,2,-99999,3,3,86,-99999,-99999,3,60,50,-99999,50,75,3069,7007,1333,-99999,0,0,0,0,0,1,3,96,41495,0,100,0,100,962,9996,49,9994,0,1,1000,98,998,38112,9996,171,0,0,15419,1,1,"BRANCH",NA
"H",120,36,1,0,1,0,56,NA,1,1,98311,0,533,520,"TX",2,1,2011,255280,124,1,2011,255280,93,0,1.84,0,0,32,0,305577,998,5,31,56,4,80,72,150,14,1385,400,21363,85,1,0,0,1,1,1,2,-99999,6,18,2,2,28,6,62,85,1,22,73,19719,238805,4094,7938,1,0,0,0,0,1,11,4,300577,0,80,0,93,2237,1,92,120,0,1,3125,1,0,19464,9996,173,0,0,8182,1,3,"CSC",NA
"H",41,144,1,0,1,0,53,NA,1,1,90034,0,496,484,"CA",2,0,2012,0,81,0,2012,0,39,101000,0.22,1,1,-1,0,599365,998,9996,96,51,5,110,76,495,3,11097,999999994,66125,73,-99999,1,1,1,1,5,6,-99999,1,6,85,-99999,-99999,1,70,96,29,78,100,66125,531059,1970,53116,0,0,0,0,0,998,7,96,599365,0,100,0,100,1292,9996,74,9994,0,1,2020,76,998,30915,9996,156,4,0,999999997,1,5,"BRANCH",NA
"H",108,144,3,2,3,1,47,NA,1,3,28216,0,475,451,"WV",1,0,-1,0,133,0,-1,0,27,-1,0,0,1,35,0,44892,998,9996,96,1,2,85,54,342,4,394,0,2858,123,-99999,-99999,-99999,0,0,4,4,-99999,4,-99999,-99999,-99999,-99999,4,75,71,-99999,62,100,2540,-99999,2003,14253,0,0,0,0,0,998,8,96,44892,0,100,0,100,1725,9996,133,9994,0,1,1910,994,998,30872,9996,121,0,0,257,1,4,"BRANCH",8.79685e+017
"H",384,0,2,0,1,0,64,168,1,2,70058,1,569,545,"LA",2,1,2012,0,335,1,2012,0,1,-1,0,0,0,0,0,22440,998,10,3,3,1,0,999999996,0,996,10080,999999994,2086,96,0,1,1,3,2,0,0,-99999,6,6,54,54,56,6,14,44,0,44,88,1043,-99999,2375,-99999,2,0,0,0,0,996,6,96,19940,6000,90,5,100,1765,53,84,90,0,1,3850,994,998,10440,9996,160,0,0,999999996,1,1,"CSC",NA
"H",75,3,1,0,1,0,36,NA,1,1,28139,0,295,283,"NC",1,0,2011,0,42,0,-1,0,1,61500,0,0,1,9,0,3700,1,9996,96,54,2,50,0,75,4,999999996,999999997,2514,39,0,0,0,1,1,3,2,-99999,5,20,6,-99999,-99999,5,100,93,80,91,100,2514,-99999,1233,7110,2,1238,1238,1238,1238,997,3,0,3700,1238,82,18,60,523,9996,56,4,0,1,1600,62,998,999999997,9996,76,3,0,999999997,1,2,"BRANCH",NA
"H",3,69,1,0,1,0,25,NA,1,1,47630,0,265,240,"NY",2,0,2011,0,4,0,2011,0,2,-1,0,0,1,2,0,103400,998,34,96,16,3,55,27,123,5,2897,999999994,1303,43,-99999,0,0,1,0,4,4,-99999,5,14,-99999,-99999,-99999,11,57,55,96,46,100,1086,-99999,1574,4000,0,0,0,0,0,998,6,1,103400,0,91,0,100,431,17,38,9994,0,30,1083,994,0,4000,9996,65,2,98,999999998,998,4,"IAPS",NA
"H",12,96,3,0,2,0,51,NA,1,3,46229,0,462,437,"MO",1,1,2011,0,-1,-1,-1,-1,-1,-1,-1,0,1,22,0,23006,998,3,3,55,2,55,55,95,14,3602,999999994,2099,56,-99999,0,0,1,8,0,0,-99999,2,14,19,21,22,10,50,44,-99999,39,60,2099,-99999,1085,15211,6,0,3869,3869,3869,998,2,2,23006,76050,53,27,100,860,18,60,70,0,1,585,53,998,21836,57,120,7,1,999999997,400,0,"IAPS",8.74079e+017
"R",75,87,5,2,3,1,33,NA,1,11,70815,0,420,396,"LA",2,0,-1,0,17,0,-1,0,16,-1,0,0,0,-1,7,1067,998,4,7,9998,2,30,5,30,10,999999996,999999996,523,61,-99999,0,1,1,25,2,2,-99999,1,9,3,3,44,7,20,98,-99999,98,67,523,-99999,534,-99999,20,587,799,587,10034,996,2,0,1067,8142,13,87,29,533,9996,27,49,0,1,534,98,998,999999996,38,68,1,1,999999996,400,2,"BRANCH",9.02291e+017
"H",84,24,12,9,11,2,40,NA,1,20,75094,0,424,400,"TX",2,0,2010,0,83,0,2010,0,1,0,1.28,1,0,-1,2,155875,998,7,2,1,3,0,999999996,0,996,27336,999999994,33747,53,-99999,-99999,-99999,0,0,0,5,-99999,0,-99999,-99999,-99999,-99999,1,0,90,-99999,0,67,28123,-99999,14849,151749,5,0,0,0,16943,998,6,0,136625,17660,83,14,78,2973,68,85,92,0,1,549,120,998,120130,42,109,7,1,999999997,400,3,"BRANCH",8.6906e+017
"R",146,401,20,8,5,3,54,NA,1,41,39272,0,507,483,"MS",1,1,-1,0,16,1,2012,273437,1,-1,0,0,1,-1,0,6800,400,9,59,138,1,75,39,150,4,999999996,999999997,1658,96,-99999,1,1,1,3,1,1,1,0,0,0,0,0,25,29,51,-99999,51,100,1658,-99999,3267,-99999,3,923,923,923,923,998,3,1,6800,976,67,17,40,1207,0,123,53,0,120,300,994,998,999999997,9996,138,0,98,999999998,998,2,"IAPS",9.08686e+017
"R",44,147,55,55,22,11,35,44,11,66,44135,2,445,409,"OH",2,1,2012,72100,33,1,2012,72100,35,-1,0,1,0,0,1,43540,998,5,12,5,1,17,0,17,6,21759,999999994,13294,44,1,4,7,9,8,1,3,-99999,0,1,0,0,0,6,50,97,-99999,100,33,13294,-99999,308,40740,3,0,1536,1536,1993,998,2,0,43540,17234,50,30,40,387,0,46,47,0,60,200,142,998,43340,49,145,5,0,2593,1,1,"IAPS",9.05776e+017
"R",66,55,5,4,5,2,50,NA,1,7,93001,0,435,423,"CA",2,0,-1,0,69,0,-1,0,15,0,0,1,1,-1,0,10848,998,14,1,9998,3,767,746,767,173,6146,999999994,1699,47,0,2,2,3,2,2,3,-99999,0,0,2,57,-99999,5,57,72,20,43,100,1416,-99999,1034,-99999,2,740,740,740,740,998,7,0,10838,740,70,20,71,244,0,41,23,0,1,667,100,998,6578,9996,124,3,0,6146,1,3,"IAPS",8.68718e+017
"R",1,79,1,0,1,0,63,NA,1,1,46220,1,560,536,"IN",2,1,-1,0,1,1,-1,0,1,0,0,0,0,0,1,195398,998,2,22,65,1,37,1,37,3,6412,2452,49757,140,-99999,-99999,-99999,0,11,1,2,-99999,1,-99999,1,1,1,62,10,76,-99999,96,50,49757,141255,1444,41324,10,142826,142826,142508,143370,997,2,1,195398,19217,52,39,50,2502,1,164,45,0,400,1444,994,997,41324,9996,146,1,0,999999997,1,1,"BRANCH",NA
"H",376,157,5,1,1,0,67,NA,1,5,44281,0,618,581,"OH",2,0,2011,70000,317,0,2011,70000,225,-1,0,0,1,18,0,142593,998,5,47,69,2,52,0,137,5,16084,999999994,39872,80,-99999,0,1,1,6,0,1,-99999,10,10,25,25,-99999,10,8,93,59,59,50,39872,100812,3000,-99999,1,0,0,0,0,997,9,3,142023,0,85,3,89,3192,0,81,51,0,1,750,994,998,18922,9996,128,0,0,16084,1,0,"BRANCH",8.56236e+017
"H",251,143,3,6,1,0,59,NA,1,7,91711,0,535,510,"NY",2,1,-1,179104,184,1,-1,179104,8,0,0,1,0,0,2,311309,400,14,23,62,2,25,0,205,3,1682,999999994,34298,103,-99999,-99999,-99999,0,8,3,5,-99999,1,-99999,1,1,1,4,13,88,-99999,99,83,34298,129068,1867,28690,11,7484,15438,15222,16922,998,3,2,311309,466734,75,15,63,5346,0,112,61,0,120,2650,83,998,44709,9996,372,7,0,2590,1,3,"BRANCH",8.4744e+017
"R",24,48,1,0,1,0,27,NA,1,1,82604,0,315,290,"NY",2,0,2008,0,11,0,2008,0,1,-1,0,0,1,-1,0,56573,1,9996,96,33,0,999999996,0,202,3,11353,0,7787,71,-99999,-99999,-99999,0,3,-99999,8,-99999,0,-99999,13,-99999,-99999,34,0,124,-99999,-99999,100,7787,-99999,-99999,7878,3,0,0,0,1824,998,96,1,56573,1844,82,18,92,973,9996,73,17,0,1,999999996,996,0,56573,9996,96,2,98,999999998,998,0,"IAPS",NA
"H",200,140,1,0,1,0,50,NA,1,1,39350,0,446,434,"MS",2,0,-1,0,146,0,-1,0,94,-1,0,1,1,-1,0,14128,400,4,40,62,98,25,0,25,9,4546,999999994,1869,33,-99999,6,14,26,4,0,2,-99999,0,0,18,18,48,1,33,53,-99999,34,83,1635,-99999,390,13828,3,0,0,0,0,997,1,1,14128,5075,25,50,50,133,4,130,62,999999998,998,999999998,998,998,13828,45,172,2,1,999999997,400,1,"BRANCH",NA
"R",36,58,4,1,1,0,40,NA,1,6,85635,0,314,301,"TX",2,0,2012,216921,13,0,2012,216921,1,-1,0,0,0,60,0,47715,400,6,1,4,12,130,80,460,6,5900,999999994,3441,45,-99999,0,1,1,4,4,5,-99999,0,12,1,1,1,6,57,82,-99999,53,81,2366,-99999,934,19351,3,0,0,0,756,996,14,1,47715,756,88,8,95,849,66,42,61,0,1,902,93,998,34290,9996,111,3,0,7059,1,15,"IAPS",8.95803e+017
"R",24,0,1,0,1,0,63,NA,1,1,95835,0,545,533,"CA",2,0,-1,0,22,0,-1,0,7,-1,0,0,1,53,1,16148,400,7,12,33,5,65,29,175,5,4994,999999994,1415,121,-99999,1,1,2,9,0,0,-99999,1,6,19,29,37,33,36,48,-99999,55,57,1213,-99999,1064,11298,6,0,337,282,2810,998,5,5,16148,3906,37,32,64,2672,29,179,65,0,400,970,994,998,11298,9996,140,2,98,999999998,998,1,"BRANCH",NA
"R",144,19,2,0,2,0,19,4,1,2,30297,0,244,222,"NJ",2,0,2011,79300,5,0,2011,79300,1,-1,0,1,1,-1,0,8597,998,27,96,9998,98,0,999999996,0,996,1629,999999994,1513,14,-99999,-99999,-99999,0,1,1,1,-99999,0,-99999,1,1,1,6,100,70,-99999,86,50,1513,-99999,1775,-99999,1,1332,1332,1332,1332,998,4,0,8597,1332,80,20,80,54,9996,6,30,999999998,998,999999998,998,0,6822,9996,14,2,0,5058,1,1,"BRANCH",NA
"R",433,121,2,0,1,0,35,286,1,2,73129,0,337,313,"OK",2,0,2012,36159,136,0,2012,36159,24,27000,1.27,0,1,-1,0,2200,998,11,65,92,98,999999998,999999998,999999998,998,2015,999999994,1843,69,-99999,0,1,1,2,-99999,0,-99999,9,9,15,15,15,5,-99999,84,-99999,-99999,100,1843,-99999,-99999,-99999,4,0,139,0,487,998,1,96,2200,486,50,38,100,313,13,55,46,999999998,998,999999998,998,0,2200,9996,102,1,0,2015,1,98,"BRANCH",NA
"H",525,225,1,0,1,0,58,NA,1,1,78040,0,569,545,"TX",2,1,2012,0,488,1,2012,0,1,-1,0,0,1,0,0,113283,30,26,96,16,97,999999997,999999997,999999997,997,50044,300,11638,31,-99999,1,1,1,1,0,2,-99999,2,4,2,2,-99999,1,33,82,-99999,26,100,11638,49711,600,26460,1,0,0,0,0,1,3,96,113283,0,97,2,100,2632,22,46,72,999999997,1,999999997,996,0,113283,9996,124,1,0,60788,1,97,"BRANCH",NA
"R",25,13,1,0,1,0,58,NA,1,1,43081,0,524,487,"OH",2,0,-1,0,26,0,-1,0,14,-1,0,0,1,22,0,20700,998,9,96,49,3,200,430,697,5,999999996,999999997,5657,92,-99999,-99999,-99999,0,1,3,2,-99999,-99999,-99999,18,50,-99999,47,33,92,0,92,75,4243,-99999,4635,-99999,0,0,0,0,0,997,4,1,20700,0,92,0,100,1316,46,123,9994,0,1,6567,994,998,999999997,9996,135,0,0,999999997,1,1,"BRANCH",NA
"R",12,54,1,0,1,0,25,NA,1,1,39532,0,268,256,"CA",2,0,-1,0,6,0,-1,0,1,0,0,0,1,-1,0,2450,998,14,96,70,2,157,189,251,10,999999996,999999997,933,43,-99999,1,1,1,5,1,2,-99999,0,0,2,2,-99999,1,22,59,-99999,20,75,560,-99999,613,-99999,3,198,198,0,198,998,4,96,2450,198,69,23,100,447,56,42,28,0,1,783,93,0,999999997,9996,70,3,98,999999998,998,3,"IAPS",NA
"R",148,15,8,8,1,0,43,NA,1,14,94134,0,515,503,"CA",1,0,2012,650000,39,0,2012,414000,1,0,1.07,0,1,23,0,3940,400,6,5,50,1,0,999999996,0,996,2566,999999994,1461,93,-99999,0,0,1,19,1,1,-99999,7,13,0,0,-99999,7,4,97,-99999,89,100,1461,-99999,400,-99999,16,0,0,0,0,998,4,96,3000,265419,65,33,100,4261,74,104,56,0,400,400,89,0,2600,22,132,3,2,2566,400,1,"BRANCH",8.64964e+017
"R",13,22,2,6,3,1,21,NA,1,9,28001,0,263,238,"NC",2,1,-1,0,6,1,-1,0,1,0,0.52,0,1,0,0,1950,998,9996,96,9998,1,60,47,110,6,999999998,999999998,866,12,0,-99999,-99999,0,0,2,2,-99999,1,-99999,-99999,-99999,-99999,9,100,99,100,99,100,866,-99999,875,-99999,0,0,0,0,0,998,3,96,1750,0,100,0,100,80,9996,27,9994,0,1,750,994,998,999999998,9998,9998,2,98,999999998,998,2,"IAPS",9.06009e+017
"H",192,294,3,0,1,0,43,182,1,3,30223,0,411,387,"GA",2,0,2012,115424,201,0,2012,115424,250,0,0.54,0,1,-1,0,13105,998,27,38,2,2,200,304,350,25,3754,999999994,8420,85,-99999,1,2,3,6,2,3,-99999,0,5,6,6,-99999,3,50,85,-99999,96,100,8420,30421,875,6802,3,0,0,0,0,1,2,96,13105,72118,73,20,100,1284,70,75,105,0,1,875,84,0,11355,30,168,0,0,3754,1,2,"CSC",NA
"R",8,232,1,0,1,0,47,NA,1,1,31905,0,394,369,"AL",2,0,-1,0,5,0,-1,0,1,-1,0,1,1,80,1,23701,400,3,38,8,98,999999998,999999998,999999998,998,2650,999999994,1757,45,-99999,-99999,-99999,0,7,-99999,0,-99999,1,-99999,1,1,1,9,0,26,-99999,-99999,100,1757,-99999,-99999,-99999,9,84793,84793,84629,87269,998,1,0,23701,15878,53,42,17,902,1,50,54,999999998,998,999999998,998,0,23701,3,82,2,1,2028,400,98,"IAPS",NA
"R",15,84,1,0,1,0,32,NA,1,1,27282,0,350,314,"NY",2,0,-1,0,11,0,-1,0,1,-1,0,0,0,-1,0,16892,998,17,1,48,1,70,51,70,11,6372,999999994,3166,71,-99999,1,1,1,3,1,1,-99999,0,0,26,26,33,13,50,37,-99999,98,100,2110,-99999,750,16142,2,0,0,0,0,997,1,0,16892,500,86,14,100,1545,23,83,75,0,1,750,994,0,16142,9996,173,0,0,999999997,1,1,"IAPS",NA
"R",75,222,9,6,7,2,49,NA,1,10,77562,0,446,434,"FL",2,0,2012,168420,80,0,2012,168420,1,-1,0,1,1,-1,1,44020,998,5,2,13,6,70,0,323,4,24311,999999994,2209,89,0,0,0,3,14,6,3,-99999,1,13,1,1,19,12,50,79,62,64,44,2209,-99999,838,28240,1,512,512,512,512,998,14,4,43130,170,81,4,86,2209,2,96,290,0,30,833,100,0,28240,9996,60,5,98,999999998,998,7,"IAPS",9.06823e+017
"H",70,36,1,0,1,0,34,NA,1,3,27292,0,334,309,"NC",2,0,2012,36980,77,0,2012,36980,72,-1,0,1,0,74,0,102589,998,27,96,4,1,40,22,100,9,7134,999999994,12331,61,-99999,1,4,6,15,2,4,-99999,2,6,1,1,1,3,40,94,-99999,67,100,10960,58948,504,31062,12,309,520,0,1560,996,5,0,102589,1608,71,29,73,2052,9996,73,38,0,1,500,994,998,38857,9996,165,2,0,7134,1,1,"BRANCH",NA
"R",41,275,7,0,1,0,51,NA,1,7,23229,0,495,471,"VA",2,1,2012,0,31,1,2012,0,21,0,0.96,0,0,0,1,300,400,2,5,70,97,100,75,100,74,999999996,999999996,462,56,-99999,-99999,-99999,0,14,1,0,-99999,4,-99999,4,4,16,2,20,71,-99999,79,-99999,462,-99999,300,-99999,14,1846,2362,2362,3451,1,96,0,300,5465,44,52,22,837,16,58,49,0,1,999999997,997,0,999999996,9996,88,3,0,999999996,1,0,"IAPS",8.63374e+017
"H",999,0,1,0,1,0,60,NA,1,1,38117,1,569,557,"TN",2,0,2011,150753,435,0,2011,150753,79,0,0.5,0,0,0,0,69679,998,12,1,15,1,175,120,175,9,10855,999999994,14452,96,0,0,1,1,9,1,1,-99999,0,10,0,0,-99999,10,20,83,0,51,88,9635,-99999,1367,65579,7,0,0,0,0,997,6,1,69679,235649,77,18,100,4273,31,101,162,0,1,2250,994,998,65579,60,127,1,1,999999997,400,1,"IAPS",NA
"H",244,0,1,0,1,0,67,NA,1,1,79758,0,663,638,"TX",2,0,2012,0,207,0,2012,0,25,-1,0,0,0,28,0,17270,998,9996,96,94,6,102,109,194,8,999999996,999999996,1407,65,-99999,-99999,-99999,0,0,6,2,0,2,-99999,-99999,-99999,-99999,3,23,70,-99999,70,100,1267,-99999,1797,-99999,0,0,0,0,0,998,10,96,17270,0,100,0,100,2509,9996,64,9994,0,1,1983,73,0,999999996,9996,143,7,98,999999998,998,5,"IAPS",NA
"R",3,3,1,0,1,0,24,NA,1,1,15904,0,298,262,"PA",-1,0,-1,0,79,0,2012,212000,21,-1,0,1,1,0,0,17649,998,1,3,12,0,238,238,238,0,15368,999999994,5368,46,-99999,0,0,1,11,2,2,-99999,1,15,10,10,53,4,33,91,83,88,100,5368,-99999,500,16649,11,803,1176,761,1352,998,2,0,17649,24276,31,63,50,434,50,31,42,0,1,300,0,998,16649,34,67,4,98,999999998,998,1,"IAPS",NA
"R",108,214,10,6,5,1,43,NA,2,10,43452,0,425,389,"OH",2,0,-1,0,111,0,-1,0,62,-1,0,0,1,18,0,17351,998,20,1,41,2,45,40,171,7,4998,999999994,1469,68,-99999,-99999,-99999,0,5,2,2,0,4,-99999,52,52,-99999,4,19,31,-99999,17,100,979,-99999,1523,11351,4,0,0,0,0,998,5,96,17351,18585,79,21,100,1219,9996,55,100,0,1,500,101,998,11351,49,150,2,1,999999997,400,2,"IAPS",8.72937e+017
"R",12,24,2,1,1,0,26,NA,1,2,24013,0,321,308,"VA",2,0,-1,0,8,0,-1,0,1,-1,0,0,1,-1,0,27195,1,9996,96,42,1,30,10,60,5,12641,999999994,4470,60,-99999,-99999,-99999,0,1,1,0,-99999,4,-99999,-99999,-99999,-99999,4,67,49,-99999,47,100,4470,-99999,1150,24895,1,0,0,0,0,997,2,96,27195,0,86,14,100,354,9996,59,53,0,1,500,994,998,24895,9996,86,0,0,999999997,1,1,"IAPS",8.79685e+017
"R",59,204,20,18,20,8,43,NA,2,20,92139,0,443,419,"CA",-1,0,2012,0,9,0,2012,523000,1,460000,0.66,0,0,58,0,327923,998,9996,96,44,2,92,0,237,3,4787,999999994,36959,87,-99999,1,1,1,1,1,1,-99999,1,1,80,-99999,-99999,6,45,90,-99999,55,100,32852,275458,2514,35148,0,0,0,0,0,998,6,96,327923,0,100,0,100,1831,9996,92,9994,0,1,950,994,0,35148,9996,147,3,98,999999998,998,1,"IAPS",8.94762e+017
"H",210,282,1,0,1,0,53,NA,1,1,60652,1,480,456,"IL",2,1,2011,262087,213,1,2011,262087,213,-1,0,1,0,0,0,174050,998,70,96,17,6,200,658,800,32,999999996,999999997,20926,85,-99999,0,1,3,1,1,3,-99999,0,11,53,53,-99999,7,55,77,-99999,16,100,16740,127936,1884,40503,1,0,0,0,0,998,9,96,174050,0,94,6,100,1480,9996,90,141,0,1,1192,28,0,999999997,9996,156,2,98,999999998,998,2,"CSC",NA
"H",14,151,1,0,1,0,42,NA,1,6,33558,0,337,313,"FL",2,0,2012,0,12,0,2012,0,8,0,1.18,0,1,46,0,327778,998,4,23,9,3,150,273,435,14,66119,999999994,41415,66,-99999,1,1,4,3,3,2,0,0,0,2,2,72,1,83,101,-99999,76,33,41415,249764,930,14496,3,0,0,0,0,998,5,3,327138,0,50,11,71,1639,0,118,84,0,30,613,84,998,70143,9996,203,2,98,999999998,998,3,"RCC",7.87354e+017
"R",13,36,1,0,1,0,44,NA,1,1,61802,0,369,333,"IL",1,1,2011,78000,30,1,2011,0,1,0,0.33,0,0,0,0,5568,998,9996,96,9998,1,23,8,23,5,808,999999994,2526,28,-99999,0,1,2,3,1,3,-99999,5,12,6,-99999,-99999,1,100,97,-99999,96,100,2526,-99999,500,-99999,10,260,260,0,1800,1,2,0,5568,1913,52,48,56,287,9996,49,44,0,1,500,91,0,5068,9996,135,1,0,3640,1,1,"BRANCH",NA
"R",24,60,1,0,1,0,21,NA,1,1,15137,0,262,225,"PA",2,0,-1,0,21,0,-1,0,15,0,0.59,0,1,-1,0,3842,998,12,96,9998,2,50,25,73,6,999999998,999999998,493,17,-99999,1,1,1,0,2,1,-99999,0,3,5,5,-99999,4,100,63,-99999,66,75,493,-99999,777,-99999,0,0,0,0,0,998,5,1,3842,0,80,0,80,70,2,14,9994,0,30,625,994,998,999999998,9998,9998,2,98,999999998,998,3,"IAPS",NA
"H",67,110,2,0,2,0,32,40,1,2,27127,1,369,345,"NC",2,1,2012,0,68,1,2012,0,65,-1,0,0,0,0,0,2702,400,26,15,9998,1,50,9,50,3,999999996,999999996,55776,83,-99999,1,1,1,3,1,2,-99999,1,1,1,1,1,30,50,88,-99999,71,75,41832,162969,1351,23830,2,165093,165255,165093,165255,998,2,0,2702,164126,50,50,67,172,9996,45,42,0,1,2000,994,998,999999996,9996,105,3,98,999999998,998,1,"BRANCH",NA
"H",82,0,4,1,3,1,55,17,1,4,15601,0,477,440,"PA",2,0,2012,71574,70,0,2012,71574,31,0,0.62,0,0,25,0,16861,400,5,6,3,4,55,35,150,10,2586,999999994,2413,76,-99999,3,6,6,17,4,7,-99999,1,1,13,13,-99999,2,27,98,-99999,92,100,2413,-99999,383,-99999,14,0,0,0,0,1,5,96,16861,122711,55,42,100,2267,65,56,104,0,1,350,103,998,15461,11,136,6,0,3300,1,4,"IAPS",8.85885e+017
"R",196,92,37,154,162,31,54,12,11,162,78415,0,470,458,"TX",2,0,2012,58356,442,0,2012,58356,30,-1,0,0,0,87,2,45676,998,2,7,95,1,265,36,445,6,600,999999994,3512,20,-99999,4,7,10,11,6,13,-99999,1,2,0,0,0,1,57,97,-99999,106,50,3512,-99999,1096,18459,15,4162,4162,3986,5611,1,13,1,45676,4596,61,20,53,1858,0,38,42,0,1,5000,994,0,36906,61,122,4,1,34704,400,7,"IAPS",9.03452e+017
